Leeftijd;Perioden;Man_kans;Vrouw_kans
0 jaar;2016;0.00329;0.00291
1 jaar;2016;0.00046;0.00046
2 jaar;2016;0.00022;0.00013
3 jaar;2016;0.00016;0.00011
4 jaar;2016;0.00016;0.00007
5 jaar;2016;0.00008;0.00009
6 jaar;2016;0.00008;0.00009
7 jaar;2016;0.00003;0.00004
8 jaar;2016;0.00008;0.00008
9 jaar;2016;0.00006;0.00010
10 jaar;2016;0.00002;0.00010
11 jaar;2016;0.00007;0.00006
12 jaar;2016;0.00009;0.00008
13 jaar;2016;0.00006;0.00005
14 jaar;2016;0.00011;0.00005
15 jaar;2016;0.00015;0.00008
16 jaar;2016;0.00013;0.00009
17 jaar;2016;0.00017;0.00013
18 jaar;2016;0.00026;0.00008
19 jaar;2016;0.00033;0.00024
20 jaar;2016;0.00031;0.00027
21 jaar;2016;0.00034;0.00014
22 jaar;2016;0.00048;0.00018
23 jaar;2016;0.00041;0.00018
24 jaar;2016;0.00039;0.00017
25 jaar;2016;0.00040;0.00021
26 jaar;2016;0.00032;0.00026
27 jaar;2016;0.00048;0.00023
28 jaar;2016;0.00039;0.00030
29 jaar;2016;0.00044;0.00029
30 jaar;2016;0.00044;0.00029
31 jaar;2016;0.00054;0.00031
32 jaar;2016;0.00053;0.00040
33 jaar;2016;0.00069;0.00045
34 jaar;2016;0.00055;0.00038
35 jaar;2016;0.00068;0.00044
36 jaar;2016;0.00062;0.00044
37 jaar;2016;0.00068;0.00057
38 jaar;2016;0.00065;0.00051
39 jaar;2016;0.00062;0.00053
40 jaar;2016;0.00073;0.00071
41 jaar;2016;0.00100;0.00072
42 jaar;2016;0.00106;0.00059
43 jaar;2016;0.00134;0.00076
44 jaar;2016;0.00131;0.00093
45 jaar;2016;0.00175;0.00107
46 jaar;2016;0.00149;0.00119
47 jaar;2016;0.00179;0.00133
48 jaar;2016;0.00186;0.00156
49 jaar;2016;0.00195;0.00150
50 jaar;2016;0.00216;0.00193
51 jaar;2016;0.00241;0.00223
52 jaar;2016;0.00289;0.00243
53 jaar;2016;0.00317;0.00280
54 jaar;2016;0.00365;0.00293
55 jaar;2016;0.00400;0.00327
56 jaar;2016;0.00479;0.00337
57 jaar;2016;0.00519;0.00430
58 jaar;2016;0.00510;0.00436
59 jaar;2016;0.00585;0.00464
60 jaar;2016;0.00681;0.00507
61 jaar;2016;0.00777;0.00533
62 jaar;2016;0.00836;0.00635
63 jaar;2016;0.00935;0.00673
64 jaar;2016;0.01054;0.00663
65 jaar;2016;0.01098;0.00799
66 jaar;2016;0.01202;0.00818
67 jaar;2016;0.01357;0.00911
68 jaar;2016;0.01476;0.01026
69 jaar;2016;0.01612;0.01093
70 jaar;2016;0.01760;0.01171
71 jaar;2016;0.02048;0.01329
72 jaar;2016;0.02191;0.01446
73 jaar;2016;0.02439;0.01545
74 jaar;2016;0.02715;0.01749
75 jaar;2016;0.03024;0.01882
76 jaar;2016;0.03343;0.02183
77 jaar;2016;0.03729;0.02386
78 jaar;2016;0.04181;0.02751
79 jaar;2016;0.04713;0.03033
80 jaar;2016;0.05405;0.03527
81 jaar;2016;0.06118;0.03876
82 jaar;2016;0.06797;0.04733
83 jaar;2016;0.08106;0.05156
84 jaar;2016;0.08748;0.06031
85 jaar;2016;0.10098;0.07014
86 jaar;2016;0.11382;0.07964
87 jaar;2016;0.12659;0.09346
88 jaar;2016;0.14037;0.10596
89 jaar;2016;0.15580;0.12046
90 jaar;2016;0.17104;0.13988
91 jaar;2016;0.19804;0.15813
92 jaar;2016;0.21354;0.17370
93 jaar;2016;0.22935;0.19364
94 jaar;2016;0.25109;0.21424
95 jaar;2016;0.29047;0.24386
96 jaar;2016;0.30975;0.26620
97 jaar;2016;0.29948;0.29660
98 jaar;2016;0.32562;0.30339
99 jaar;2016;0.37775;0.35994
